timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2022-08-31T00:00:00.000Z";"2022-08-31T23:59:59.999Z";"2022-08-31T13:52:00.000Z";"2022-08-31T23:43:00.000Z";"2781";31.4165147717;32.8764227673;31.2378847221;31.4729564045;769308936.55;11000112739.2;349509991.94;"2022-08-31T23:59:59.999Z"
"2022-08-30T00:00:00.000Z";"2022-08-30T23:59:59.999Z";"2022-08-30T10:31:00.000Z";"2022-08-30T17:46:00.000Z";"2781";32.4600417709;33.0726359589;30.7965253685;31.4120557475;861409804.42;10978850937.97;349510742.83;"2022-08-30T23:59:59.999Z"
"2022-08-29T00:00:00.000Z";"2022-08-29T23:59:59.999Z";"2022-08-29T23:49:00.000Z";"2022-08-29T00:28:00.000Z";"2781";30.3938591356;32.5207465652;30.1191622109;32.4652987619;891913483.95;11346995761.15;349511515.18;"2022-08-29T23:59:59.999Z"
"2022-08-28T00:00:00.000Z";"2022-08-28T23:59:59.999Z";"2022-08-28T16:28:00.000Z";"2022-08-28T23:58:00.000Z";"2781";31.5388638243;32.129613418;30.3887800838;30.392286778;562501615.01;10618466610.71;349380311.14;"2022-08-28T23:59:59.999Z"
"2022-08-27T00:00:00.000Z";"2022-08-27T23:59:59.999Z";"2022-08-27T08:01:00.000Z";"2022-08-27T16:32:00.000Z";"2781";31.71382848;32.2050845223;30.9530189205;31.5424320507;764882265.49;11020331826.17;349381170.37;"2022-08-27T23:59:59.999Z"
"2022-08-26T00:00:00.000Z";"2022-08-26T23:59:59.999Z";"2022-08-26T13:07:00.000Z";"2022-08-26T23:49:00.000Z";"2781";35.3132570972;35.5801320661;31.4993258862;31.7263630512;1315871629.36;11084618357.38;349381942.69;"2022-08-26T23:59:59.999Z"
"2022-08-25T00:00:00.000Z";"2022-08-25T23:59:59.999Z";"2022-08-25T12:07:00.000Z";"2022-08-25T00:02:00.000Z";"2781";34.9591020773;36.4226702;34.9336448867;35.31646523;828503624.09;12334274836.21;349249981.73;"2022-08-25T23:59:59.999Z"
"2022-08-24T00:00:00.000Z";"2022-08-24T23:59:59.999Z";"2022-08-24T16:11:00.000Z";"2022-08-24T03:17:00.000Z";"2781";35.645656169;36.2860666417;34.4335161888;34.9579146202;946325778.39;12209076679.09;349250715.09;"2022-08-24T23:59:59.999Z"
"2022-08-23T00:00:00.000Z";"2022-08-23T23:59:59.999Z";"2022-08-23T14:13:00.000Z";"2022-08-23T06:01:00.000Z";"2781";35.475305895;36.0504223626;34.3129162288;35.6462514997;854779221.43;12449504399.49;349251432.5;"2022-08-23T23:59:59.999Z"
"2022-08-22T00:00:00.000Z";"2022-08-22T23:59:59.999Z";"2022-08-22T00:00:00.000Z";"2022-08-22T08:34:00.000Z";"2781";36.5258063123;36.5258063123;33.9004420701;35.4743808039;1139846769.99;12384788098.88;349119218.38;"2022-08-22T23:59:59.999Z"
"2022-08-21T00:00:00.000Z";"2022-08-21T23:59:59.999Z";"2022-08-21T21:52:00.000Z";"2022-08-21T06:58:00.000Z";"2781";35.264178115;36.982368042;34.7823049168;36.5331983251;982071274.97;12754468528.38;349119954.26;"2022-08-21T23:59:59.999Z"
"2022-08-20T00:00:00.000Z";"2022-08-20T23:59:59.999Z";"2022-08-20T07:43:00.000Z";"2022-08-20T20:58:00.000Z";"2781";35.8766117838;37.2232075312;34.3583389574;35.2697335733;1203622743.23;12313396664.42;349120773.45;"2022-08-20T23:59:59.999Z"
"2022-08-19T00:00:00.000Z";"2022-08-19T23:59:59.999Z";"2022-08-19T00:00:00.000Z";"2022-08-19T11:42:00.000Z";"2781";39.5413285907;39.5413285907;35.7550266094;35.8902567302;1821467945.41;12518976237.59;348812668.9;"2022-08-19T23:59:59.999Z"
"2022-08-18T00:00:00.000Z";"2022-08-18T23:59:59.999Z";"2022-08-18T13:02:00.000Z";"2022-08-18T23:31:00.000Z";"2781";40.4265080521;41.6073052574;39.5259371467;39.5452320179;885648540.06;13793882541.16;348812785.7;"2022-08-18T23:59:59.999Z"
"2022-08-17T00:00:00.000Z";"2022-08-17T23:59:59.999Z";"2022-08-17T06:13:00.000Z";"2022-08-17T23:13:00.000Z";"2781";43.153056898;44.6330884719;40.2867710807;40.4030551343;1336772690.92;14094071905.93;348836786.21;"2022-08-17T23:59:59.999Z"
"2022-08-16T00:00:00.000Z";"2022-08-16T23:59:59.999Z";"2022-08-16T11:19:00.000Z";"2022-08-16T18:49:00.000Z";"2781";43.8060951905;44.1871207753;42.7821526509;43.1588040174;1131452044.68;15055409667.57;348837508.6;"2022-08-16T23:59:59.999Z"
"2022-08-15T00:00:00.000Z";"2022-08-15T23:59:59.999Z";"2022-08-15T03:17:00.000Z";"2022-08-15T23:09:00.000Z";"2781";44.9224409272;47.1275391844;42.9090314147;43.8232238705;1364253428.91;15287214697.61;348838203.75;"2022-08-15T23:59:59.999Z"
"2022-08-14T00:00:00.000Z";"2022-08-14T23:59:59.999Z";"2022-08-14T07:55:00.000Z";"2022-08-14T18:06:00.000Z";"2781";46.5059853902;47.9608761796;44.6940395144;44.9165702658;1061034921.66;15662657782.88;348705559.89;"2022-08-14T23:59:59.999Z"
"2022-08-13T00:00:00.000Z";"2022-08-13T23:59:59.999Z";"2022-08-13T06:10:00.000Z";"2022-08-13T00:00:00.000Z";"2781";45.3407426814;48.1842845917;45.3407426814;46.4853488315;1416039040.17;16209730478.88;348706224.36;"2022-08-13T23:59:59.999Z"
"2022-08-12T00:00:00.000Z";"2022-08-12T23:59:59.999Z";"2022-08-12T23:55:00.000Z";"2022-08-12T11:40:00.000Z";"2781";42.8205306194;45.3751839565;42.231141823;45.3347567539;1128246062.89;15808543966.16;348706932.56;"2022-08-12T23:59:59.999Z"
"2022-08-11T00:00:00.000Z";"2022-08-11T23:59:59.999Z";"2022-08-11T14:13:00.000Z";"2022-08-11T00:00:00.000Z";"2781";42.373649473;45.1247708429;42.373649473;42.8217893452;1735349567.9;14926562728.09;348574007.68;"2022-08-11T23:59:59.999Z"
"2022-08-10T00:00:00.000Z";"2022-08-10T23:59:59.999Z";"2022-08-10T21:37:00.000Z";"2022-08-10T02:43:00.000Z";"2781";40.3705251286;42.6118152737;39.257372343;42.3658664251;1389333742.4;14760621904.89;348408356.78;"2022-08-10T23:59:59.999Z"
"2022-08-09T00:00:00.000Z";"2022-08-09T23:59:59.999Z";"2022-08-09T04:55:00.000Z";"2022-08-09T14:14:00.000Z";"2781";42.1753923951;42.7023939449;39.9439272653;40.3726244306;895263875.12;14066091186.82;348406658.85;"2022-08-09T23:59:59.999Z"
"2022-08-08T00:00:00.000Z";"2022-08-08T23:59:59.999Z";"2022-08-08T12:13:00.000Z";"2022-08-08T00:04:00.000Z";"2781";40.6096407054;43.539855408;40.6037978798;42.1705528596;1117550362.7;14692531939.71;348407382.48;"2022-08-08T23:59:59.999Z"
"2022-08-07T00:00:00.000Z";"2022-08-07T23:59:59.999Z";"2022-08-07T21:16:00.000Z";"2022-08-07T01:05:00.000Z";"2781";40.0600470715;41.4940683689;39.3364833144;40.605591952;614104051.26;14089000374.03;346971924.23;"2022-08-07T23:59:59.999Z"
